time,average_price
11/01/2016 08:16:30.131,0.0
11/01/2016 08:17:30.131,0.0
11/01/2016 08:21:30.131,0.0
11/01/2016 08:25:30.131,0.0
11/01/2016 08:26:30.131,0.0
11/01/2016 08:33:30.131,0.0
11/01/2016 08:34:30.131,0.0
11/01/2016 08:46:30.131,0.0
11/01/2016 08:47:30.131,0.0
11/01/2016 08:48:30.131,0.0
11/01/2016 08:49:30.131,0.0
11/01/2016 08:50:30.131,0.0
11/01/2016 08:53:30.131,0.0
11/01/2016 08:54:30.131,0.0
11/01/2016 08:58:30.131,0.0
11/01/2016 09:02:30.131,0.0
11/01/2016 09:04:30.131,0.0
11/01/2016 09:06:30.131,0.0
11/01/2016 09:08:30.131,0.0
11/01/2016 09:12:30.131,0.0
11/01/2016 09:13:30.131,0.0
11/01/2016 09:15:30.131,0.0
11/01/2016 09:17:30.131,0.0
11/01/2016 09:18:30.131,0.0
11/01/2016 09:20:30.131,0.0
11/01/2016 09:21:30.131,0.0
11/01/2016 09:22:30.131,0.0
11/01/2016 09:24:30.131,0.0
11/01/2016 09:25:30.131,0.0
11/01/2016 09:26:30.131,0.0
11/01/2016 09:27:30.131,0.0
11/01/2016 09:28:30.131,0.0
11/01/2016 09:29:30.131,784.39
11/01/2016 09:30:30.131,785.74505
11/01/2016 09:31:30.131,785.765
11/01/2016 09:32:30.131,783.5134
11/01/2016 09:33:30.131,783.125
11/01/2016 09:34:30.131,783.845
11/01/2016 09:35:30.131,784.415
11/01/2016 09:36:30.131,785.25
11/01/2016 09:37:30.131,784.68105
11/01/2016 09:38:30.131,784.1544
11/01/2016 09:39:30.131,785.0599500000001
11/01/2016 09:40:30.131,784.78
11/01/2016 09:41:30.131,785.31495
11/01/2016 09:42:30.131,785.6044999999999
11/01/2016 09:43:30.131,785.755
11/01/2016 09:44:30.131,786.5474999999999
11/01/2016 09:45:30.131,786.625
11/01/2016 09:46:30.131,785.96
11/01/2016 09:47:30.131,785.385
11/01/2016 09:48:30.131,785.645
11/01/2016 09:49:30.131,785.4925000000001
11/01/2016 09:50:30.131,785.2199499999999
11/01/2016 09:51:30.131,785.28
